Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2020-01-01 00:00:00+00:00,129.16,133.05,128.68,130.77,144770.52197,18952318.5320643,75888,71847.93883,9407940.1610683
2020-01-02 00:00:00+00:00,130.72,130.78,126.38,127.19,213757.05806,27486853.3948215,96193,105830.56192,13615064.5687285
2020-01-03 00:00:00+00:00,127.19,135.14,125.88,134.35,413055.18895,54139288.2165768,162310,227899.25531,29863547.6212013
2020-01-04 00:00:00+00:00,134.37,135.85,132.5,134.2,184276.17102,24641135.568953,95488,85809.67556,11476955.5946946
2020-01-05 00:00:00+00:00,134.2,138.19,134.19,135.37,254120.45343,34593687.6032748,115106,126786.52057,17260443.9704219
2020-01-06 00:00:00+00:00,135.37,144.41,134.86,144.15,408020.27375,57400544.487257,159866,199544.89847,28085835.7185572
2020-01-07 00:00:00+00:00,144.14,145.31,138.76,142.8,447762.17281,63861666.4047594,188444,224063.89164,31981440.0921426
2020-01-08 00:00:00+00:00,142.8,147.77,137.03,140.72,570465.57764,81184999.7319576,229912,282151.20995,40157986.5699953
2020-01-09 00:00:00+00:00,140.76,141.5,135.3,137.74,366076.06569,50611452.5846448,152241,185916.38689,25716637.968512
2020-01-10 00:00:00+00:00,137.73,145.17,135.32,144.84,409403.59507,57377525.5626822,167313,212395.40493,29753335.7909026
2020-01-11 00:00:00+00:00,144.83,148.05,142.09,142.38,368350.57939,53149360.5617478,156488,189781.12128,27384707.929052
2020-01-12 00:00:00+00:00,142.4,146.6,141.76,146.54,229541.86137,33112850.8222346,110842,112369.46853,16214587.1291772
2020-01-13 00:00:00+00:00,146.56,147.0,142.27,143.58,207996.61865,29888095.3670508,102544,99446.20096,14292973.1970495
2020-01-14 00:00:00+00:00,143.58,171.7,143.51,165.64,1108476.31186,173492006.2482075,321408,569410.84447,89171070.3995408
2020-01-15 00:00:00+00:00,165.6,171.98,159.2,166.4,721687.80381,119239937.9299424,251183,350727.96393,57992191.9811916
2020-01-16 00:00:00+00:00,166.4,167.4,157.8,164.21,456170.86719,74038650.829131,179108,221669.39628,35985561.1310417
2020-01-17 00:00:00+00:00,164.24,174.81,162.14,169.85,767180.67853,129909265.2561568,273867,375143.01514,63553850.7345358
2020-01-18 00:00:00+00:00,169.92,179.5,164.92,174.14,688783.17982,119388338.7524942,240660,350447.01511,60783310.6690849
2020-01-19 00:00:00+00:00,174.1,178.05,161.66,166.79,624681.28604,105691368.8196623,203953,307350.63954,51957534.8530924
2020-01-20 00:00:00+00:00,166.79,169.33,161.24,166.87,358092.8841,59292534.7174649,130615,181828.1952,30119285.6562597
